business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
CaXhEb3hBYwB6ox6CrnV7A,Essentials Salon and Spa,13431 Fort Road,Edmonton,AB,T5A 1C6,53.5945617,-113.4247828,4.0,5,0,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False'}","Beauty & Spas, Nail Salons, Eyelash Service, Hair Salons, Day Spas","{'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-19:0', 'Saturday': '9:0-16:0'}"
cga_fZV1egLtyVSLb6TGhg,Mckenzie Brew House,451 Wilmington Pike,Glen Mills,PA,19342,39.862061,-75.543657,3.0,174,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'free'"", 'BikeParking': 'False', 'Alcohol': ""u'full_bar'"", 'HappyHour': 'True', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'CoatCheck': 'False', 'RestaurantsTableService': 'True', 'Corkage': 'False', 'RestaurantsDelivery': 'True', 'Smoking': ""u'no'"", 'BYOB': 'False'}","American (Traditional), Beer, Wine & Spirits, Restaurants, Breweries, Food, Bars, Nightlife, Coffee & Tea, Sports Bars, Venues & Event Spaces, Event Planning & Services","{'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '11:30-21:0'}"
mkTuCsQvGrpTjF-luyUSMg,Diane Loomis Team,"584 Middletown Blvd, Ste A50",Langhorne,PA,19047,40.1872063,-74.877622,3.5,6,1,{'BusinessAcceptsCreditCards': 'False'},"Real Estate Services, Real Estate Agents, Real Estate, Home Services","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0'}"
oM-HxIaYiUKRCGF2iHraqA,Mazatlan Mexican Restaurant,839 Briley Pkwy,Nashville,TN,37217,36.1373215366,-86.7006124622,3.5,88,0,"{'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, Mexican","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
tCOdkMLadC9Xe976AreQdA,Better Health Tanning and Nail Spa,1516 Fayette St,Conshohocken,PA,19428,40.082897,-75.2974101,2.5,17,0,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Skin Care, Nail Salons, Beauty & Spas, Tanning","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-18:0'}"
Et3rSYz4NnXc0m6Kjg90zg,St. Francis de Sales Oratory,2653 Ohio Ave,Saint Louis,MO,63118,38.604314108,-90.225908,4.5,8,1,,"Religious Organizations, Churches","{'Monday': '8:0-9:0', 'Tuesday': '18:30-19:30', 'Wednesday': '12:0-13:0', 'Thursday': '8:0-9:0', 'Friday': '8:0-9:0', 'Saturday': '8:0-9:0', 'Sunday': '10:0-12:0'}"
z_nmpfBHN9XPEGrXAhEKLg,Avis Car Rental,3201 W Airport Way,Boise,ID,83705,43.56867,-116.22211,2.0,37,1,,"Hotels & Travel, Car Rental",
tBoEKkOV_5NoMXqzfs_rng,Skyway Animal Hospital,3258 5th Ave S,Saint Petersburg,FL,33712,27.7662263,-82.6778143,4.0,8,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True'}","Pets, Veterinarians, Pet Sitting, Pet Services","{'Monday': '7:30-18:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '8:0-12:0'}"
1U8Kt44FIkC7RnJsNjaMTA,Teru Japanese Cuisine,1305 State St,Santa Barbara,CA,93101,34.4244063718,-119.706060133,4.5,34,1,"{'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{u'valet': False, u'garage': True, u'street': True, u'lot': False, u'validated': False}"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsTableService': 'True', 'Alcohol': ""u'beer_and_wine'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Japanese, Restaurants, Beer, Wine & Spirits, Food, Sushi Bars","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}"
JkIhE7n3moDgk6yAf-EYMw,Piano Solutions,575 W Carmel Dr,Carmel,IN,46032,39.9624066,-86.137425,4.5,9,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Shopping, Musical Instruments & Teachers","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0'}"
Xj5YawbPRY2IeeVWdHJQ_w,The Rustic Goat Eatery & Lounge,2617 Washington Ave,Saint Louis,MO,63103,38.6351749,-90.2139946,2.5,58,0,"{'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False'}","Southern, Restaurants","{'Monday': '11:0-14:0', 'Tuesday': '11:0-14:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:30', 'Saturday': '17:0-1:30'}"
Cg8YlLmaLUOyjQ1j72F-Tg,Tucson College of Beauty,3955 N Flowing Wells Rd,Tucson,AZ,85705,32.2789459,-110.9960584,2.5,35,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'ByAppointmentOnly': 'True'}","Cosmetology Schools, Specialty Schools, Hair Salons, Beauty & Spas, Education","{'Monday': '12:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '9:0-16:30'}"
tlYWpbEiQ3m_Fu_pSplQ-g,Tennessee Brew Works Airport Kiosk,1 Terminal Dr,Nashville,TN,37214,36.1322031633,-86.6699259846,3.5,16,1,"{'Smoking': ""u'no'"", 'GoodForDancing': 'False', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'False', 'CoatCheck': 'False', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'False', 'BikeParking': 'False', 'Music': ""{u'dj': None, u'live': False, u'jukebox': None, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}"", 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': None, u'lot': None, u'validated': False}"", 'RestaurantsReservations': 'False', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': None}""}","Beer Bar, Bars, Nightlife","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-19:30', 'Sunday': '11:0-20:0'}"
NgqIyv9Ld8i_rMPaEmGexw,The Parking Spot 2,10486 Natural Bridge Road,Saint Louis,MO,63134,38.7381658,-90.3626352,4.0,34,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'""}","Parking, Airports, Automotive, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
CLTS_gTmxC25VR8sjJS2EA,DDM Energy,613 Ways Lane,Kennett Square,PA,19348,39.8449906,-75.7007585445,2.0,38,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Water Heater Installation/Repair, Heating & Air Conditioning/HVAC, Home Services, Utilities","{'Monday': '0:0-0:0', 'Tuesday': '8:0-16:30', 'Wednesday': '8:0-16:30', 'Thursday': '8:0-16:30', 'Friday': '8:0-16:30'}"
L6DV9mBE5OaPD1nGe0T4xw,Simply Mac,"8021 Citrus Park Town Center Blvd, Ste 7963",Tampa,FL,33625,28.068004229,-82.5762033463,2.0,9,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1'}","Electronics, IT Services & Computer Repair, Shopping, Computers, Mobile Phones, Local Services, Electronics Repair","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-18:0'}"
N4xH8GUigmG5rJrb3AQwcQ,DJs In Reno,2470 Wrondel Way,Reno,NV,89502,39.5014405,-119.7956636,5.0,9,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","DJs, Event Planning & Services, Musicians, Party & Event Planning","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
zft3chSC2e-lYNCx4zcBhg,Enterprise Rent-A-Car,1202 E Stop 12 Rd,Indianapolis,IN,46227,39.6429621,-86.1368916,4.0,10,1,,"Hotels & Travel, Car Rental","{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '9:0-12:0'}"
N9gF1pYdptTrH1thC7dX9g,Wawa,50 Haddonfield Rd,Cherry Hill,NJ,08002,39.9493603464,-75.0280439434,2.5,10,1,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'Caters': 'True'}","Restaurants, Automotive, Coffee & Tea, Sandwiches, Convenience Stores, Gas Stations, Food","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
n6JMMwYfzy0Qda19-LE1DA,Childrens Orthopedic Specialists,"1605 E River Rd, Ste 101",Tucson,AZ,85718,32.2909988,-110.9481954,4.5,6,1,{'ByAppointmentOnly': 'True'},"Doctors, Orthopedists, Health & Medical","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-16:0'}"
6uTpGnCU4an9jy5ptgsixA,FedEx Office Print & Ship Center,101 3rd St N,St Petersburg,FL,33701,27.772408,-82.636855,4.5,12,1,{'BusinessAcceptsCreditCards': 'True'},"Shipping Centers, Professional Services, Printing Services, Signmaking, Local Services, Notaries","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '10:0-18:0'}"
ed3iNfVUBpCABJLzE8QeYg,Long John Silver's,3267 Hampton Ave,Saint Louis,MO,63139,38.6027385,-90.2920831,3.0,20,1,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""'none'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Seafood, Fast Food, Restaurants","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-22:0'}"
W6a7Cur0QP17hANen_BoDQ,London Drugs,9450 137 Avenue NW,Edmonton,AB,T5E 6C2,53.6007162716,-113.4865089699,3.5,6,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Department Stores, Electricians, Beauty & Spas, Cosmetics & Beauty Supply, Computers, Convenience Stores, Electronics, Food, Fashion, Drugstores, Shopping, Appliances, Home & Garden, Home Services","{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '10:0-20:0', 'Saturday': '9:0-22:0', 'Sunday': '10:0-20:0'}"
wVeeI1h9Wo17SYeWDcX7SQ,Sport Clips Haircuts of Overland & I-84,1468 S Entertainment Ave,Boise,ID,83709,43.59133,-116.28023,3.5,16,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'GoodForKids': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Hair Salons, Beauty & Spas, Men's Hair Salons, Barbers","{'Monday': '0:0-0:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-18:0', 'Sunday': '11:0-17:0'}"
HfFgsZL3sud-8GcRTAtxxg,Gigi's Fabric Shop,800 W Lumsden Rd,Brandon,FL,33511,27.9233551,-82.2952741,4.5,6,1,,"Fabric Stores, Shopping, Arts & Crafts","{'Monday': '10:0-16:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0'}"
1XBxnolv7ZpHQBVE_gBAWg,Mobile Ninja,1208 S St,Philadelphia,PA,19147,39.9431682424,-75.1624356684,4.0,27,1,"{'BusinessAcceptsBitcoin': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True'}","Mobile Phones, Mobile Home Repair, Electricians, Security Systems, Plumbing, Waterproofing, Local Services, Home Services, Shopping, IT Services & Computer Repair, Electronics Repair, Handyman, Mobile Phone Repair, Water Heater Installation/Repair","{'Monday': '11:0-19:30', 'Tuesday': '11:0-19:30', 'Friday': '11:0-19:30', 'Saturday': '11:0-19:30', 'Sunday': '11:0-19:30'}"
