business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
UVfYRQIr6u_WrFSY5Cv7xw,InCycle,736 Hanover Pl,Carmel,IN,46032,39.9697264,-86.1278146,5.0,32,1,"{'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'WheelchairAccessible': 'True'}","Active Life, Cycling Classes, Gyms, Fitness & Instruction, Barre Classes","{'Monday': '16:0-20:0', 'Tuesday': '16:0-20:0', 'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '7:30-12:0', 'Sunday': '8:0-14:0'}"
wH6QxQv31IJ-qQ-FKIc5TA,Roman Plumbing,6125 Grand Blvd,New Port Richey,FL,34652,28.247926,-82.719939,4.5,29,1,"{'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Plumbing, Water Heater Installation/Repair, Contractors, Home Services, Water Purification Services","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0'}"
K1NdCTaJWK1ezkZpPyB7-A,Desert Rain Coffee,1551 E Tangerine Rd,Oro Valley,AZ,85755,32.429167,-110.948631,5.0,46,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'Caters': 'False', 'WiFi': ""u'free'"", 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': False, u'lot': True, u'validated': None}""}","Coffee & Tea, Food","{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Sunday': '8:0-12:0'}"
juL8ovMlnjkXNACxZ8HLAQ,Sam Levitz Furniture,3750 W Orange Grove Rd,Tucson,AZ,85741,32.3248992,-111.0444852,2.0,186,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsTakeOut': 'None', 'RestaurantsDelivery': 'None'}","Shopping, Mattresses, Home & Garden, Furniture Stores","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-18:0'}"
2eN2pfPCear_ofmgQ0peCw,"David Caplan, CPA",301 Andorra Glen Ct,Lafayette Hill,PA,19444,40.0884567,-75.2674119,4.5,13,1,,"Professional Services, Accountants",
oUnC0Mcl_nozqkOXejTQXQ,eegee's,1875 S Alvernon Way,Tucson,AZ,85711,32.20042127,-110.9089026,4.0,29,1,"{'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'WiFi': ""'no'"", 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'ByAppointmentOnly': 'False', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'DriveThru': 'True'}","Juice Bars & Smoothies, Restaurants, Food, Desserts, Sandwiches, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '9:30-22:0', 'Wednesday': '9:30-22:0', 'Thursday': '9:30-22:0', 'Friday': '9:30-18:0', 'Saturday': '9:30-19:0', 'Sunday': '9:30-22:0'}"
sfOczyUZLffzSOVeVBbJrw,Christopher's a Neighborhood Place,108 N Wayne Ave,Wayne,PA,19087,40.0444568,-75.3881712,4.0,199,1,"{'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'NoiseLevel': ""u'loud'"", 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'BusinessAcceptsBitcoin': 'False', 'Smoking': ""u'no'"", 'DogsAllowed': 'True', 'GoodForDancing': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BYOB': 'False', 'Music': ""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'False', 'CoatCheck': 'False'}","Restaurants, American (New), Nightlife, Bars, Pizza","{'Monday': '20:30-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-21:0'}"
toMVWIsPJmS7-LiLAf2AfA,Ippolito's Seafood,3400 S Lawrence St,Philadelphia,PA,19148,39.9049727,-75.1588247,4.0,101,1,"{'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True'}","Food, Grocery, Specialty Food, Sandwiches, American (Traditional), Butcher, Fish & Chips, Seafood Markets, Restaurants, Seafood, Salad","{'Monday': '0:0-0:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '9:0-16:0'}"
UcQUBTXcEke44ymSpX3qKw,Jumpzees,,Boise,ID,83709,43.5516566,-116.2987901,5.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Active Life, Kids Activities, Bounce House Rentals, Party Equipment Rentals, Event Planning & Services","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
pJTtJv3pNQxFr1CLRXj7xQ,Toll Booth Saddle Shop,2441 Rte 206,Eastampton,NJ,08060,39.9869773,-74.7354294,4.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'False', 'BikeParking': 'False', 'DogsAllowed': 'True', 'WheelchairAccessible': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Horseback Riding, Horse Equipment Shops, Shopping, Active Life, Sporting Goods","{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-17:0'}"
